candidate_id,rank,score,reasoning
CAND_0062247,31,0.8725,"AI Engineer with 7.3y; embeddings/retrieval, vector search, ranking/eval (product-company background (Google)), responsive (78%), 30d notice."
CAND_0080766,32,0.8676,"Staff Machine Learning Engineer with 8.8y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Aganitha)), responsive (66%), 0d notice."
CAND_0015578,33,0.8618,"AI Engineer with 5.4y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Glance)), responsive (65%)."
CAND_0069905,34,0.8611,"Applied ML Engineer with 6.6y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Sarvam AI)), responsive (78%)."
CAND_0031593,35,0.8596,"Search Engineer with 7.8y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Genpact AI))."
CAND_0086022,36,0.8596,"Senior Applied Scientist with 5.3y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Sarvam AI)), 0d notice."
CAND_0006567,37,0.8588,"Senior AI Engineer with 7.9y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Glance)), responsive (79%)."
CAND_0078002,38,0.8579,"Machine Learning Engineer with 6.3y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Genpact AI)), responsive (86%)."
CAND_0088025,39,0.8559,"Staff Machine Learning Engineer with 8.6y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Yellow.ai)), responsive (83%)."
CAND_0009024,40,0.8552,"Search Engineer with 5.2y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Aganitha)), 30d notice."
CAND_0099401,41,0.8543,"NLP Engineer with 7.7y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Genpact AI))."
CAND_0000031,42,0.8498,"Recommendation Systems Engineer with 6.0y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Mad Street Den)), responsive (91%)."
CAND_0045250,43,0.8486,"Applied ML Engineer with 6.6y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Rephrase.ai)), responsive (74%), 15d notice."
CAND_0052682,44,0.8484,"NLP Engineer with 6.6y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Aganitha)), responsive (88%), 30d notice."
CAND_0041669,45,0.845,"Recommendation Systems Engineer with 8.0y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Mad Street Den)), responsive (77%)."
CAND_0055905,46,0.8412,"Senior Machine Learning Engineer with 8.1y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Rephrase.ai)), responsive (87%), 30d notice."
CAND_0068351,47,0.8395,"Lead AI Engineer with 6.4y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Sarvam AI)), responsive (86%), 0d notice."
CAND_0008425,48,0.8376,"Senior NLP Engineer with 7.8y; embeddings/retrieval, vector search, ranking/eval (product-company background (Amazon)), responsive (66%)."
CAND_0094056,49,0.8352,"NLP Engineer with 5.9y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Rephrase.ai)), responsive (82%). Concern: long notice (120d)."
CAND_0068811,50,0.8334,"Applied ML Engineer with 8.0y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Yellow.ai)), 30d notice."
CAND_0096172,51,0.8329,"NLP Engineer with 5.2y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Krutrim))."
CAND_0043228,52,0.8282,"Applied ML Engineer with 6.8y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Yellow.ai)), 30d notice."
CAND_0006418,53,0.8277,"Machine Learning Engineer with 5.7y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Verloop.io)), responsive (92%)."
CAND_0018499,54,0.8277,"Senior Machine Learning Engineer with 7.2y; embeddings/retrieval, vector search, ranking/eval (product-company background (Google)), responsive (61%), 15d notice."
CAND_0007460,55,0.8272,"AI Engineer with 4.7y; embeddings/retrieval, vector search, ranking/eval (product-company background (Salesforce)). Concern: long notice (120d)."
CAND_0015528,56,0.8255,"Applied ML Engineer with 7.4y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Krutrim)), 30d notice."
CAND_0007009,57,0.8234,"Recommendation Systems Engineer with 7.9y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Wysa)), responsive (62%), 30d notice."
CAND_0033861,58,0.8225,"Senior NLP Engineer with 8.0y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Mad Street Den)), 30d notice. Concern: inactive 132d; low recruiter response (16%)."
CAND_0065195,59,0.8219,"Search Engineer with 5.1y; embeddings/retrieval, vector search, ranking/eval (product-company background (Google)), responsive (80%)."
CAND_0008239,60,0.8218,"AI Engineer with 4.0y; embeddings/retrieval, vector search, ranking/eval (product-company background (Apple)), responsive (73%), 15d notice."
CAND_0050876,61,0.8208,"Applied ML Engineer with 6.0y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Yellow.ai)), responsive (67%)."
CAND_0077285,62,0.8196,"Recommendation Systems Engineer with 5.5y; embeddings/retrieval, vector search, ranking/eval (product-company background (Netflix))."
CAND_0030468,63,0.8179,"Senior Applied Scientist with 5.4y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Wysa)), responsive (78%)."
CAND_0081846,64,0.8175,"Lead AI Engineer with 6.7y; embeddings/retrieval, vector search, ranking/eval (product-company background (Razorpay)), responsive (73%), 30d notice."
CAND_0075574,65,0.8155,"Machine Learning Engineer with 5.7y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Haptik))."
CAND_0057563,66,0.814,"NLP Engineer with 6.8y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Locobuzz)), responsive (83%)."
CAND_0064326,67,0.8138,"Search Engineer with 7.6y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Sarvam AI)), responsive (94%)."
CAND_0029367,68,0.8137,"Senior Data Scientist with 5.7y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Rephrase.ai)), responsive (77%)."
CAND_0089552,69,0.8109,"Machine Learning Engineer with 6.0y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Mad Street Den)). Concern: long notice (120d)."
CAND_0052328,70,0.8086,"Recommendation Systems Engineer with 6.5y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Observe.AI)), responsive (79%), 30d notice."
CAND_0079284,71,0.8066,"Machine Learning Engineer with 4.9y; embeddings/retrieval, vector search, ranking/eval (product-company background (Google)), responsive (79%), 30d notice."
CAND_0061257,72,0.8057,"Staff Machine Learning Engineer with 8.0y; embeddings/retrieval, ranking/eval (AI-native experience (Yellow.ai)), responsive (87%), 30d notice."
CAND_0032515,73,0.8016,"Machine Learning Engineer with 5.1y; embeddings/retrieval, vector search, ranking/eval (product-company background (Razorpay))."
CAND_0028793,74,0.8011,"Search Engineer with 7.2y; embeddings/retrieval, vector search, ranking/eval (product-company background (Google)). Concern: long notice (120d)."
CAND_0012957,75,0.8005,"Search Engineer with 4.9y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Mad Street Den)), responsive (67%). Concern: long notice (120d)."
CAND_0042506,76,0.8001,"Search Engineer with 4.2y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Verloop.io)), 15d notice."
CAND_0072660,77,0.7998,"Machine Learning Engineer with 7.1y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Glance)), 30d notice."
CAND_0011162,78,0.7985,"Recommendation Systems Engineer with 5.8y; embeddings/retrieval, vector search, ranking/eval (product-company background (Google)), responsive (75%)."
CAND_0057701,79,0.7981,"Recommendation Systems Engineer with 4.1y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Verloop.io)). Concern: long notice (120d)."
CAND_0018549,80,0.7956,"Recommendation Systems Engineer with 6.8y; embeddings/retrieval, vector search, ranking/eval (product-company background (Uber)), responsive (73%)."
CAND_0098846,81,0.7925,"AI Engineer with 7.6y; embeddings/retrieval, vector search, ranking/eval (product-company background (Google)), responsive (62%)."
CAND_0037566,82,0.7922,"Machine Learning Engineer with 6.9y; embeddings/retrieval, vector search, ranking/eval (product-company background (LinkedIn)), 15d notice."
CAND_0070485,83,0.7914,"Search Engineer with 6.4y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Saarthi.ai)). Concern: long notice (120d)."
CAND_0046525,84,0.7888,"Senior Machine Learning Engineer with 6.1y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Genpact AI)), responsive (88%)."
CAND_0039383,85,0.7886,"Applied ML Engineer with 7.1y; embeddings/retrieval, vector search, ranking/eval (product-company background (Meesho)), responsive (61%)."
CAND_0027691,86,0.7851,"NLP Engineer with 6.5y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Haptik)), responsive (68%), 15d notice."
CAND_0005260,87,0.7833,"Senior NLP Engineer with 5.2y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Yellow.ai)), responsive (86%)."
CAND_0005538,88,0.7828,"Senior AI Engineer with 5.9y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Locobuzz)), responsive (81%)."
CAND_0074225,89,0.7823,"Machine Learning Engineer with 4.3y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Mad Street Den)), responsive (91%). Concern: long notice (120d)."
CAND_0083307,90,0.7798,"Search Engineer with 7.8y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Saarthi.ai)), responsive (70%). Concern: long notice (120d)."
CAND_0051630,91,0.7788,"Machine Learning Engineer with 6.0y; embeddings/retrieval, vector search, ranking/eval (product-company background (Razorpay))."
CAND_0061265,92,0.7768,"Recommendation Systems Engineer with 6.6y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Observe.AI)), responsive (94%). Concern: long notice (120d)."
CAND_0070202,93,0.7768,"Machine Learning Engineer with 5.1y; embeddings/retrieval, vector search, ranking/eval (product-company background (Dream11)), responsive (60%)."
CAND_0076163,94,0.7766,"NLP Engineer with 6.9y; embeddings/retrieval, vector search, ranking/eval (product-company background (Ola)), responsive (84%)."
CAND_0066376,95,0.7759,"Applied ML Engineer with 5.7y; embeddings/retrieval, vector search, ranking/eval (product-company background (Salesforce))."
CAND_0018722,96,0.7724,"Recommendation Systems Engineer with 6.6y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Saarthi.ai)), responsive (79%)."
CAND_0084819,97,0.7717,"Search Engineer with 4.5y; embeddings/retrieval, vector search, ranking/eval (product-company background (Dream11)), responsive (74%). Concern: long notice (120d)."
CAND_0075249,98,0.7712,"Applied ML Engineer with 6.2y; embeddings/retrieval, vector search, ranking/eval (product-company background (Zomato)), responsive (82%)."
CAND_0044883,99,0.7696,"AI Engineer with 6.3y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Mad Street Den)), responsive (84%)."
CAND_0044855,100,0.7695,"Senior Data Scientist with 6.6y; embeddings/retrieval, vector search, ranking/eval (AI-native experience (Verloop.io))."
